"Year","Population","GrowthRate","Growth"
"2035","3638756","0.0019","6784"
"2034","3631972","0.0018","6649"
"2033","3625323","0.0018","6507"
"2032","3618816","0.0018","6355"
"2031","3612461","0.0017","6193"
"2030","3606268","0.0017","6080"
"2029","3600188","0.0016","5857"
"2028","3594331","0.0015","5378"
"2027","3588953","0.0013","4712"
"2026","3584241","0.0011","4053"
"2025","3580188","0.0009","3315"
"2024","3576873","0.0008","2935"
"2023","3573938","0.0009","3188"
"2022","3570750","0.0011","3959"
"2021","3566791","0.0013","4753"
"2020","3562038","0.0015","5246"
"2019","3556792","0.0013","4669"
"2018","3552123","0.0036","12889"
"2017","3539234","0.0036","12843"
"2016","3526391","0.0036","12796"
"2015","3513595","0.0036","12732"
"2014","3500863","0.0036","12686"
"2013","3488177","0.0036","12622"
"2012","3475555","0.0036","12611"
"2011","3462944","0.0036","12549"
"2010","3450395","0.0036","12503"
"2009","3437892","0.0036","12325"
"2008","3425567","0.0036","12200"
"2007","3413367","0.0036","12141"
"2006","3401226","0.0029","9730"
"2005","3391496","0.0010","3344"
"2004","3388152","-0.0007","-2304"
"2003","3390456","-0.0002","-638"
"2002","3391094","0.0008","2653"
"2001","3388441","0.0012","4024"
"2000","3384417","-0.0025","-8339"
"1999","3392756","-0.0057","-19545"
"1998","3412301","-0.0087","-29966"
"1997","3442267","-0.0060","-20698"
"1996","3462965","-0.0024","-8430"
"1995","3471395","-0.0007","-2310"
"1994","3473705","0.0009","3152"
"1993","3470553","0.0042","14677"
"1992","3455876","0.0047","16035"
"1991","3439841","0.0053","18179"
"1990","3421662","0.0120","40567"
"1989","3381095","0.0391","127135"
"1988","3253960","-0.0058","-19030"
"1987","3272990","0.0574","177537"
"1986","3095453","0.0114","34969"
"1985","3060484","0.0058","17740"
"1984","3042744","0.0005","1417"
"1983","3041327","-0.0023","-7162"
"1982","3048489","-0.0010","-3055"
"1981","3051544","-0.0015","-4538"
"1980","3056082","-0.0048","-14719"
"1979","3070801","-0.0048","-14769"
"1978","3085570","-0.0048","-14841"
"1977","3100411","-0.0048","-14891"
"1976","3115302","-0.0048","-15004"
"1975","3130306","-0.0048","-15056"
"1974","3145362","-0.0048","-15128"
"1973","3160490","-0.0048","-15179"
"1972","3175669","-0.0048","-15295"
"1971","3190964","-0.0048","-15347"
"1970","3206311","-0.0019","-5972"
"1969","3212283","-0.0015","-4974"
"1968","3217257","-0.0016","-4996"
"1967","3222253","-0.0015","-4996"
"1966","3227249","-0.0015","-5004"
"1965","3232253","-0.0015","-5004"
"1964","3237257","-0.0016","-5027"
"1963","3242284","-0.0015","-5027"
"1962","3247311","-0.0015","-5035"
"1961","3252346","-0.0023","-7487"
"1960","3259833","-0.0024","-7706"
"1959","3267539","-0.0024","-7713"
"1958","3275252","-0.0024","-7732"
"1957","3282984","-0.0024","-7740"
"1956","3290724","-0.0024","-7779"
"1955","3298503","-0.0024","-7787"
"1954","3306290","-0.0024","-7805"
"1953","3314095","-0.0024","-7813"
"1952","3321908","-0.0024","-7853"
"1951","3329761","-0.0024","-7860"
"1950","3337621","0","0"
